Category,Reference,Value
Resistors,R1,330
Resistors,R2,330
Capacitors,C1,10uF
Capacitors,C2,100nF
Capacitors,C3,100nF
Capacitors,C4,100nF
Integrated Circuits,U3,7805
Diodes,D1,1N4001
Miscellaneous,BP0,BPKSA
Miscellaneous,BP1,BPKSA
Miscellaneous,BP2,BPKSA
Miscellaneous,BP3,BPKSA
Miscellaneous,GND1,D2MM
Miscellaneous,GND2,D2MM
Miscellaneous,VALIM,D2MM
Miscellaneous,VCC,D2MM
Miscellaneous,J1,I2C_VOX
Miscellaneous,J2,MYAVR_M
Miscellaneous,J3,SIL20F
Miscellaneous,J4,BVIS3
Miscellaneous,J5,BVIS2
Miscellaneous,J6,STRAP-2
Miscellaneous,JP1,JUMPER
Miscellaneous,JP2,JUMPER
LED,LED1,ORANGE
LED,LED2,ROUGE
Miscellaneous,PT_GND,PTEST
Miscellaneous,PT_SCL,PTEST
Miscellaneous,PT_SDA,PTEST
